38000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",10534,White Squall,6.3,Jeff Bridges
8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2086,Nick of Time,6.1,Johnny Depp
8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2086,Nick of Time,6.1,Christopher Walken
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",45549,Shopping,5.6,Jude Law
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11062,City Hall,6.0,Al Pacino
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11062,City Hall,6.0,John Cusack
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13685,Bottle Rocket,6.8,Owen Wilson
12000000,"[{'id': 35, 'name': 'Comedy'}]",9614,Happy Gilmore,6.5,Ben Stiller
24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",688,The Bridges of Madison County,7.3,Clint Eastwood
1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",103,Taxi Driver,8.1,Robert De Niro
35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",43566,Before and After,5.8,Paul Giamatti
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",10324,If Lucy Fell,5.4,Ben Stiller
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2074,Flirting with Disaster,6.3,Ben Stiller
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",110972,Pie in the Sky,7.0,John Goodman
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",73067,Frankie Starlight,5.4,Colin Farrell
0,"[{'id': 35, 'name': 'Comedy'}]",9101,Down Periscope,5.6,William H. Macy
0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",10474,The Basketball Diaries,7.2,Leonardo DiCaprio
0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",10474,The Basketball Diaries,7.2,Mark Wahlberg
52000000,"[{'id': 18, 'name': 'Drama'}]",568,Apollo 13,7.3,Tom Hanks
0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",34996,The Addiction,6.4,Christopher Walken
100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",414,Batman Forever,5.2,Tommy Lee Jones
100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",414,Batman Forever,5.2,Jim Carrey
50000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",8839,Casper,6.0,Clint Eastwood
53000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",8963,Crimson Tide,7.0,Denzel Washington
53000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",8963,Crimson Tide,7.0,Viggo Mortensen
7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8068,Desperado,6.8,Steve Buscemi
7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8068,Desperado,6.8,Antonio Banderas
27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8512,Devil in a Blue Dress,6.3,Denzel Washington
27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8512,Devil in a Blue Dress,6.3,Don Cheadle
90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1572,Die Hard: With a Vengeance,6.9,Samuel L. Jackson
90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1572,Die Hard: With a Vengeance,6.9,Jeremy Irons
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17447,Jeffrey,6.5,Patrick Stewart
25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9886,Johnny Mnemonic,5.5,Keanu Reeves
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",19326,Jury Duty,4.0,Stanley Tucci
500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",9071,Living in Oblivion,7.2,Peter Dinklage
500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",9071,Living in Oblivion,7.2,Steve Buscemi
6000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2293,Mallrats,6.8,Ben Affleck
8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",11980,The Prophecy,6.4,Christopher Walken
8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",11980,The Prophecy,6.4,Viggo Mortensen
50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10533,The Scarlet Letter,5.5,Gary Oldman
50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10533,The Scarlet Letter,5.5,Robert Duvall
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",10149,Smoke,7.2,Forest Whitaker
0,"[{'id': 35, 'name': 'Comedy'}]",18402,Something to Talk About,5.7,Robert Duvall
35000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",9348,Species,5.5,Forest Whitaker
35000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",9348,Species,5.5,Ben Kingsley
0,"[{'id': 18, 'name': 'Drama'}]",139408,The Stars Fell on Henrietta,6.6,Robert Duvall
42000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",281,Strange Days,6.8,Ralph Fiennes
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",36834,Total Eclipse,6.5,Leonardo DiCaprio
20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9560,A Walk in the Clouds,6.5,Keanu Reeves
175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",9804,Waterworld,5.9,Kevin Costner
30000000,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",65796,Wild Bill,5.9,Jeff Bridges
10000000,"[{'id': 35, 'name': 'Comedy'}]",11017,Billy Madison,6.2,Steve Buscemi
21000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",9382,Boys on the Side,6.3,Matthew McConaughey
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",22625,Circle of Friends,6.5,Colin Firth
25000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1909,Don Juan DeMarco,6.3,Johnny Depp
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",10531,Death and the Maiden,7.1,Ben Kingsley
0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",11929,Dolores Claiborne,7.1,Christopher Plummer
16000000,"[{'id': 35, 'name': 'Comedy'}]",8467,Dumb and Dumber,6.5,Jim Carrey
18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",522,Ed Wood,7.3,Johnny Depp
18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",522,Ed Wood,7.3,Bill Murray
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",397,French Kiss,6.2,Jean Reno
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",21183,Fluke,6.6,Samuel L. Jackson
120,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",13701,Immortal Beloved,6.9,Gary Oldman
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",14819,Heavyweights,6.0,Ben Stiller
60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",628,Interview with the Vampire,7.2,Brad Pitt
60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",628,Interview with the Vampire,7.2,Tom Cruise
60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",628,Interview with the Vampire,7.2,Antonio Banderas
0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",37108,A Kid in King Arthur's Court,4.3,Daniel Craig
40000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6071,Kiss of Death,5.7,Samuel L. Jackson
40000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6071,Kiss of Death,5.7,Stanley Tucci
40000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6071,Kiss of Death,5.7,Nicolas Cage
11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,Star Wars,8.1,Harrison Ford
18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9587,Little Women,7.0,Christian Bale
30000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",4476,Legends of the Fall,7.2,Anthony Hopkins
30000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",4476,Legends of the Fall,7.2,Brad Pitt
17000000,"[{'id': 18, 'name': 'Drama'}]",28313,Losing Isaiah,6.4,Samuel L. Jackson
